index_symbol,index_name,currency,exchange_code,provider_guess,market_scope_guess,category_group,category,summary,stock_index_scope,source_dataset,source_url
000121.SS,SSE Health Care theme Index Ind,CNY,SHH,Shanghai Stock Exchange,China,Equities,Health Care,"The SSE Health Care theme Index Ind aims to reflect the performance of companies listed on the Shanghai Stock Exchange (SSE) that are related to the healthcare industry. This includes pharmaceuticals, medical equipment, and healthcare service providers. The index provides a benchmark for investors interested in the Chinese healthcare sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000125.SS,SSE 180 Stability Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,The SSE 180 Stability Index measures the performance of 180 companies on the Shanghai Stock Exchange (SSE) that exhibit relatively stable performance characteristics. It uses metrics like volatility and financial stability in its stock selection. The index serves as a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000128.SS,SSE380 Fundamental Weighted Ind,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE380 Fundamental Weighted Index is designed to measure the performance of 380 stocks listed on the Shanghai Stock Exchange (SSE), weighted by fundamental factors. These fundamental factors include metrics like book value, cash flow, sales, and dividends. This weighting scheme provides an alternative to market capitalization weighting, potentially capturing value opportunities.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000129.SS,SSE180 Volatility Weighted Inde,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE180 Volatility Weighted Index measures the performance of 180 stocks on the Shanghai Stock Exchange (SSE), weighted based on their historical volatility. Stocks with lower volatility receive a higher weighting in the index. The index aims to provide a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000130.SS,SSE380 Volatility Weighted Inde,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE380 Volatility Weighted Index measures the performance of 380 stocks on the Shanghai Stock Exchange (SSE), weighted based on their historical volatility. Stocks with lower volatility are assigned a higher weighting in the index. It aims to provide a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000142.SS,SSE 380 Stability Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,The SSE 380 Stability Index measures the performance of 380 companies on the Shanghai Stock Exchange (SSE) that exhibit relatively stable performance characteristics. It uses metrics like volatility and financial stability in its stock selection. The index serves as a benchmark for investors seeking exposure to lower-volatility stocks in the Chinese market.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000147.SS,SSE Select Consumption Industri,CNY,SHH,Shanghai Stock Exchange,China,Equities,Consumer Discretionary,The SSE Select Consumption Industri aims to reflect the performance of companies listed on the Shanghai Stock Exchange (SSE) that are related to the consumption industry. This includes companies involved in the production and sale of consumer goods and services. The index provides a benchmark for investors interested in the Chinese consumption sector.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000941.SS,CSI CN Mainland New Energy Inde,CNY,SHH,China Securities Index,China,Equities,Energy,"The CSI CN Mainland New Energy Index is designed to track the performance of companies listed on mainland Chinese stock exchanges that are involved in the new energy sector. This includes companies related to renewable energy sources such as solar, wind, and electric vehicles. The index provides a benchmark for investors interested in the new energy industry in China.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000942.SS,CSI China Mainland Consumer Ind,CNY,SHH,China Securities Index,China,Equities,Consumer Discretionary,The CSI China Mainland Consumer Ind is designed to track the performance of companies listed on mainland Chinese stock exchanges that are involved in the consumer sector. It offers a benchmark for measuring the performance of Chinese consumer-related businesses. The index offers exposure to companies that provide goods and services to consumers in mainland China.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000944.SS,CSI China Mainland Natural Reso,CNY,SHH,China Securities Index,China,Equities,Materials,"The CSI China Mainland Natural Reso is designed to track the performance of companies listed on mainland Chinese stock exchanges that are involved in the natural resources sector. It provides a benchmark for investors interested in tracking the performance of companies engaged in the extraction, production, and processing of natural resources in China. The index includes companies in sectors like mining, oil and gas, and forestry.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0020.Z,ESTX LRB50 NR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB50 NR EUR index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0021.Z,ESTX LRB50 NR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB50 NR USD index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0022.Z,ESTX LRB50 PR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB50 PR EUR index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0023.Z,ESTX LRB50 PR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB50 PR USD index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0027.Z,STXE LR100 GR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE LR100 GR EUR index tracks the performance of 100 liquid stocks in the Eurozone. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0028.Z,STXE LR100 GR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE LR100 GR USD index tracks the performance of 100 liquid stocks in the Eurozone. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0029.Z,STXE LR100 NR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE LR100 NR EUR index tracks the performance of 100 liquid stocks in the Eurozone. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002A.Z,ESTX LR50 NR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR50 NR EUR index represents the performance of 50 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002B.Z,ESTX LR50 NR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR50 NR USD index represents the performance of 50 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002C.Z,ESTX LR50 PR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR50 PR EUR index represents the performance of 50 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002D.Z,ESTX LR50 PR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR50 PR USD index represents the performance of 50 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002G.Z,ESTX LR100 NR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR100 NR EUR index represents the performance of 100 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002H.Z,ESTX LR100 NR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR100 NR USD index represents the performance of 100 of the most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002J.Z,ESTX LR100 PR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR100 PR EUR index represents the performance of 100 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002K.Z,ESTX LR100 PR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR100 PR USD index represents the performance of 100 of the most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002L.Z,ESTX LR150 GR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR150 GR EUR index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a gross return index, meaning it reflects reinvested dividends before deduction of any taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002M.Z,ESTX LR150 GR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR150 GR USD index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a gross return index, meaning it reflects reinvested dividends before deduction of any taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002N.Z,ESTX LR150 NR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR150 NR EUR index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002P.Z,ESTX LR150 NR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR150 NR USD index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002Q.Z,ESTX LR150 PR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR150 PR EUR index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002R.Z,ESTX LR150 PR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LR150 PR USD index represents the performance of the 150 largest and most liquid Eurozone stocks. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002S.Z,ESTX LRB30 GR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB30 GR EUR index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002T.Z,ESTX LRB30 GR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB30 GR USD index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002U.Z,ESTX LRB30 NR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB30 NR EUR index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002V.Z,ESTX LRB30 NR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB30 NR USD index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002W.Z,ESTX LRB30 PR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB30 PR EUR index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002X.Z,ESTX LRB30 PR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB30 PR USD index represents the performance of the 30 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a price return index, meaning it reflects price movements only and does not account for dividends. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002Y.Z,ESTX LRB50 GR EUR,EUR,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB50 GR EUR index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
002Z.Z,ESTX LRB50 GR USD,USD,ZRH,Unclassified / multiple providers,Europe,Equities,Large Cap,"The ESTX LRB50 GR USD index represents the performance of the 50 largest blue-chip companies in the Eurozone, with a focus on liquidity. It is a gross return index, meaning it reflects reinvested dividends before the deduction of any taxes. The index is denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0065.Z,STXE LOW CARB.50 EW PR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE LOW CARB.50 EW PR EO index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in EUR. The index uses end-of-day data.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0066.Z,STXE LOW CARB.50 EW PR DL,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE LOW CARB.50 EW PR DL index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in USD. The index uses delayed data.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0067.Z,STXE LOW CARB.50 EW NR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE LOW CARB.50 EW NR EO index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in EUR. The index uses end-of-day data.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
0068.Z,STXE LOW CARB.50 EW NR DL,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE LOW CARB.50 EW NR DL index tracks the performance of 50 European companies with low carbon emissions, equally weighted. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in USD. The index uses delayed data.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
006A.Z,ESTX REP.LOW CARBON PR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The ESTX REP.LOW CARBON PR DL index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a price return index denominated in USD, utilizing delayed data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
006B.Z,ESTX REP.LOW CARBON NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The ESTX REP.LOW CARBON NR EO index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a net return index denominated in EUR, utilizing end-of-day data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
006C.Z,ESTX REP.LOW CARBON NR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The ESTX REP.LOW CARBON NR DL index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a net return index denominated in USD, utilizing delayed data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
006E.Z,ESTX REP.LOW CARBON GR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The ESTX REP.LOW CARBON GR DL index tracks the performance of companies with low carbon emissions, using RepRisk data. It is a gross return index denominated in USD, utilizing delayed data. The index methodology aims to reflect companies demonstrating environmental responsibility.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
006T.Z,STXE L.CARB.100 EW PR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE L.CARB.100 EW PR EO index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in EUR. The index uses end-of-day data.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
006U.Z,STXE L.CARB.100 EW PR DL,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE L.CARB.100 EW PR DL index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a price return index, meaning it only reflects price movements and does not account for dividends, and is denominated in USD. The index uses delayed data.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
006V.Z,STXE L.CARB.100 EW NR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,"The STXE L.CARB.100 EW NR EO index tracks the performance of 100 European companies with low carbon emissions, equally weighted. It is a net return index, meaning it accounts for reinvested dividends after the deduction of withholding taxes, and is denominated in EUR. The index uses end-of-day data.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
